URL;Name;Land;Traeger;Promotionsrecht;Gruendung;Studierende;AS;WikiUrl;Stand
http://www.uni-frankfurt.de/;Johann Wolfgang Goethe-Universität Frankfurt am Main;HE;staatlich;ja;1914;45076;AS20633;/wiki/Johann_Wolfgang_Goethe-Universit%C3%A4t_Frankfurt_am_Main;2017 (SS)
http://www.sankt-georgen.de/;Philosophisch-Theologische Hochschule Sankt Georgen;HE;konfessionell;ja;1926;335;AS15817;/wiki/Philosophisch-Theologische_Hochschule_Sankt_Georgen;2012/13 (WS)
http://www.provadis-hochschule.de/;Provadis School of International Management and Technology;HE;privat;nein;2002;897;AS24639;/wiki/Provadis_School_of_International_Management_and_Technology;2012/13 (WS)
http://www.staedelschule.de/;Staatliche Hochschule für Bildende Künste – Städelschule;HE;staatlich;nein;1829;196;AS20773;/wiki/Staatliche_Hochschule_f%C3%BCr_Bildende_K%C3%BCnste_%E2%80%93_St%C3%A4delschule;2012/13 (WS)
http://www.europa-uni.de/;Europa-Universität Viadrina;BB;staatlich;ja;1506/1992;6716;AS680;/wiki/Europa-Universit%C3%A4t_Viadrina;2012/13 (WS)
http://www.tu-freiberg.de/;Technische Universität Bergakademie Freiberg;SN;staatlich;ja;1765;4927;AS680;/wiki/Technische_Universit%C3%A4t_Bergakademie_Freiberg;2015/16 (WS)
http://www.uni-freiburg.de/;Albert-Ludwigs-Universität Freiburg;BW;staatlich;ja;1457;24741;AS553;/wiki/Albert-Ludwigs-Universit%C3%A4t_Freiburg;2013/14 (WS)
http://www.eh-freiburg.de/;Evangelische Hochschule Freiburg;BW;konfessionell;nein;1918;896;AS20773;/wiki/Evangelische_Hochschule_Freiburg;2012/13 (WS)
http://www.mh-freiburg.de/;Hochschule für Musik Freiburg;BW;staatlich;ja;1946;517;AS20773;/wiki/Hochschule_f%C3%BCr_Musik_Freiburg;2012/13 (WS)
http://hkdm.de/;Hochschule für Kunst, Design und Populäre Musik Freiburg;BW;privat;nein;2010;111;AS24940;/wiki/Hochschule_f%C3%BCr_Kunst,_Design_und_Popul%C3%A4re_Musik_Freiburg;2012/13 (WS)
http://www.kh-freiburg.de/;Katholische Hochschule Freiburg;BW;konfessionell;nein;1971;1716;AS20773;/wiki/Katholische_Hochschule_Freiburg;2012/13 (WS)
http://www.ph-freiburg.de/;Pädagogische Hochschule Freiburg;BW;staatlich;ja;1962;5067;AS553;/wiki/P%C3%A4dagogische_Hochschule_Freiburg;2012/13 (WS)
http://www.thh-friedensau.de/;Theologische Hochschule Friedensau;ST;konfessionell;nein;1899;188;AS24973;/wiki/Theologische_Hochschule_Friedensau;2012/13 (WS)
http://www.zu.de/;Zeppelin Universität;BW;privat;ja;2003;805;AS21263;/wiki/Zeppelin_Universit%C3%A4t;2012/13 (WS)
http://www.hs-fulda.de/;Hochschule Fulda;HE;staatlich;ja;1974;6514;AS6724;/wiki/Hochschule_Fulda;2012/13 (WS)
http://thf-fulda.de/;Theologische Fakultät Fulda;HE;konfessionell;ja;1734;43;AS20773;/wiki/Theologische_Fakult%C3%A4t_Fulda;2012/13 (WS)
http://www.wlh-fuerth.de/;Wilhelm Löhe Hochschule für angewandte Wissenschaften;BY;privat;nein;2012;103;AS24940;/wiki/Wilhelm_L%C3%B6he_Hochschule_f%C3%BCr_angewandte_Wissenschaften;2015/16 (WS)
