URL; name; popularity; active; origin; first release; first release date; release count; last release date; last release; distrowatch url
http://www.ulteo.com/; ulteo; 293 (23 hits per day); Active; France;1.02; 2008-07-22;5;2016-05-12;4.0.3;http://distrowatch.com/ulteo
http://www.univention.com/; univention; 155 (54 hits per day); Active; Germany;4.0-5; 2016-04-05;3;2017-11-28;4.2-3;http://distrowatch.com/univention
http://www.untangle.com/; untangle; 164 (51 hits per day); Active; USA;5.4.2; 2008-10-29;9;2017-09-05;13.1.0;http://distrowatch.com/untangle
http://www.ututo.org/; ututo; 261 (28 hits per day); Active; Argentina;2005.0; 2005-01-15;9;2017-02-04;2017-rc;http://distrowatch.com/ututo
http://www.vectorlinux.com/; vector; 88 (133 hits per day); Active; Canada;3.2; 2003-02-05;10;2017-08-28;7.2;http://distrowatch.com/vector
http://www.vinelinux.org/; vine; 240 (31 hits per day); Active; Japan;1.0nahe; 1999-05-17;22;2018-01-21;VineSeed;http://distrowatch.com/vine
http://www.voidlinux.eu/; void; 107 (104 hits per day); Active; Spain;20150221; 2015-02-21;2;2018-01-21;current;http://distrowatch.com/void
http://www.whonix.org/; whonix; 179 (45 hits per day); Active; Germany;12.0.0.3.2; 2015-12-14;2;2016-05-31;13.0.0.1.1;http://distrowatch.com/whonix
http://www.wifislax.com/; wifislax; 156 (54 hits per day); Active; Spain;3.1; 2007-10-09;5;2016-08-05;4.12;http://distrowatch.com/wifislax
http://www.xubuntu.org/; xubuntu; 35 (293 hits per day); Active; Isle of Man;6.06dapper; 2006-06-01;24;2017-10-19;17.10artful;http://distrowatch.com/xubuntu
http://www.zentyal.org/; zentyal; 241 (31 hits per day); Active; Spain;1.2-1; 2009-09-08;11;2016-11-29;5.0;http://distrowatch.com/zentyal
http://www.zeroshell.org/; zeroshell; 180 (45 hits per day); Active; Italy;3.0.0; 2014-01-14;4;2017-12-29;3.8.2;http://distrowatch.com/zeroshell
http://www.zevenet.com/; zevenet; 278 (25 hits per day); Active; Spain;4.0.5; 2017-07-11;1;2017-07-11;4.0.5;http://distrowatch.com/zevenet
http://www.zorin-os.com/; zorin; 11 (679 hits per day); Active; Ireland;1; 2009-07-01;12;2017-09-08;12.2;http://distrowatch.com/zorin
http://zenwalk.org/; zenwalk; 99 (121 hits per day); Active; France;0.4; 2005-03-25;17;2017-12-02;current;http://distrowatch.com/zenwalk
